shallowestdepthml,porosityml,storagepermeabilityml,caprockThickness,distToWell,distToLicence,distToPipeline,distToEmissions,MinTotalCost
65.06,,,,25.27,10.2,8.71,17.3,151051.05
3586,0.16,600,336,25.53,106.18,1.05,12.11,256634.05
1556.11,0.14,15,,25.28,0,17.9,20.68,321294.37
2289,0.19,5,,25.39,185.89,10.86,24.71,243752.9
1022.34,0.14,350,,64.33,0,11.16,30.2,253484.42
800,0.06,10,,36.39,73.27,12.84,43.28,1936.39
800,0.17,38,,6.18,89.45,21.31,21.8,1935.72
3132,0.16,160,,13.71,88.43,2.87,16.24,1108494.39
2169,0.23,1284,367,14.64,16.93,0.75,10.58,683849.05
800,0.31,7000,367,14.56,80.03,7.25,11.46,2658.58
1676,0.14,75,115,18.1,0,0.12,12.92,27966.2
1661,0.19,450,115,22.13,0,0.46,14.03,502335.02
2286,0.15,30,115,55.43,0,2.65,11.59,231045.7
2697,0.13,59,498,23.55,5.19,0.18,14.2,605309.51
,,0,,26.55,187.45,2.15,4.09,810884.75
,,0,,36.42,156.3,0.99,1.29,172753.42
,,0,,40.34,30.5,2.32,14.79,83383.21
3596.64,,60,123,13.32,58.94,1.86,4.86,9517.96
,,,,88.13,31.11,0.66,1.42,20439.73
,,,367,19.02,94.21,0.06,11.32,43260.44
3275,0.16,40,,11.82,154.78,9.09,31.53,1040.82
3336,0.2,75,,8.32,194.84,4.9,13.93,612.28
3133,0.17,17.5,,5.95,83.76,4.48,10.88,1224.55
800,0.15,400,113,35.28,140.75,14.85,39.11,612.28
2869,0.16,40,113,28.37,49.6,1.02,12.2,12255
2678,0.16,40,,17.18,26.5,4.02,7.23,118370.67
800,0.13,5.03,,17.04,101.87,24.43,24.95,25909.07
3094,0.13,5.03,,10.65,92.31,3.75,16.98,1788200.96
1366,0.18,10,,8.7,3.77,3.62,33.12,2916.5
1720,0.18,10,,19.58,14.97,8.49,44.01,533.33
800,0.35,1100,250,87.96,180.76,80.42,87.34,1777.93
2500,0.28,790,180,61.48,92.88,10.67,0.01,18093.13
3800,0.13,113,1000,113.86,72.5,74.08,78.69,1250591.49
,0.08,100,82,3.73,120.53,3.87,9.59,2124.3
,0.05,5,82,40.1,154.9,30.16,31.22,1332707.22
,0.05,5,82,31.2,95.83,4.95,8.45,5952987.38
,0.3,7500,,27.53,197.42,29.18,39.46,4443769.88
,0.25,3300,,32.48,44.05,3.74,10.01,5955569.48
,0.25,3300,82,31.55,67.86,0.11,17.91,64454.55
,0.33,5000,82,32.88,54.34,3.41,5.75,1398412.26
,0.2,1495,82,39.5,49.05,2.17,3.25,1736285.08
,,,82,12.49,91.71,5.58,9.12,114905.83
,,,82,164.4,142.28,98.59,161.67,6843843.51
,,,113,156.3,138.57,90,156.28,23364.87
,,,,195.38,155.5,133.46,181.02,2442474.84
,,,113,103.9,178.98,62.65,120.86,2366675.44
,,,,6.64,17.47,14.09,30.87,1254789.17
,,,,31.44,5.7,2.41,9.77,2.57
,0.4,,82,164.4,142.28,98.59,161.67,5092.76
,,,82,195.38,155.5,133.46,181.02,3210.78
,,,82,156.3,138.57,90,156.28,13109.62
,,,82,103.9,178.98,62.65,120.86,14782.76
,0.3,10,113,34.59,15.14,17.66,11.87,7062.78
,0.37,2000,82,39.6,156.71,27.83,31.44,6464.75
,0.2,268.3,82,15.52,197.25,0.13,0.5,7276356.66
,,,113,34.72,62.17,6.53,13.26,47157.91
